event_id,event_name,asset_class,requested_source,requested_symbol,source_used,symbol_used,resolution,raw_bars,signals,status,quality_note
eq-2010-flashcrash,Flash Crash,equity,yahoo,^GSPC,yahoo,^GSPC,day,38,"v, sigma, q",ok,
eq-2011-downgrade,US credit downgrade,equity,yahoo,^GSPC,yahoo,^GSPC,day,52,"v, sigma, q",ok,
eq-2015-chinadev,China devaluation + ETF flash,equity,yahoo,^GSPC,yahoo,^GSPC,day,43,"v, sigma, q",ok,
eq-2018-volmageddon,Volmageddon,equity,yahoo,^VIX,yahoo,^VIX,day,40,"v, sigma, q",ok,
eq-2020-covid,COVID equity crashes,equity,yahoo,^GSPC,yahoo,^GSPC,day,62,"v, sigma, q",ok,
eq-2022-ukraine,Ukraine war onset,equity,yahoo,^STOXX50E,yahoo,^STOXX50E,day,43,"v, sigma, q",ok,
eq-2023-svb,SVB / banking crisis,equity,yahoo,KRE,yahoo,KRE,day,42,"v, sigma, q",ok,
eq-2024-yencarry,Yen carry unwind,equity,yahoo,^N225,yahoo,^N225,day,36,"v, sigma, q",ok,
fx-2008-goldflight,Flight to gold,commodity,yahoo,GC=F,yahoo,GC=F,day,88,"v, sigma, q",ok,
fx-2013-goldcrash,Gold flash crash,commodity,dukascopy,XAUUSD,yahoo,GC=F,day,34,"v, sigma, q",ok,
fx-2013-goldcrash,Gold flash crash,commodity,dukascopy,XAUUSD,dukascopy,XAUUSD,minute,46251,"s, v, sigma, q",ok,resample=1min; cache_hits=0; missed=7; skipped_closed=291
fx-2015-snb,SNB EUR/CHF unpeg,fx,dukascopy,EURCHF,yahoo,EURCHF=X,day,35,"v, sigma, q",ok,
fx-2015-snb,SNB EUR/CHF unpeg,fx,dukascopy,EURCHF,dukascopy,EURCHF,minute,45530,"s, v, sigma, q",ok,resample=1min; cache_hits=0; missed=12; skipped_closed=361
fx-2016-brexit,Brexit GBP crash,fx,dukascopy,GBPUSD,yahoo,GBPUSD=X,day,40,"v, sigma, q",ok,
fx-2016-brexit,Brexit GBP crash,fx,dukascopy,GBPUSD,dukascopy,GBPUSD,minute,52960,"s, v, sigma, q",ok,resample=1min; cache_hits=0; missed=67; skipped_closed=363
fx-2019-jpyflash,JPY flash crash,fx,dukascopy,USDJPY,yahoo,USDJPY=X,day,35,"v, sigma, q",ok,
fx-2019-jpyflash,JPY flash crash,fx,dukascopy,USDJPY,dukascopy,USDJPY,minute,30385,"s, v, sigma, q",ok,resample=1min; cache_hits=0; missed=271; skipped_closed=336
fx-2020-wti,WTI negative price,commodity,yahoo,CL=F,yahoo,CL=F,day,45,"v, sigma, q",ok,dropped_nonpositive_close=1
fx-2022-ldi,GBP gilt LDI crisis,fx,dukascopy,GBPUSD,yahoo,GBPUSD=X,day,44,"v, sigma, q",ok,
fx-2022-ldi,GBP gilt LDI crisis,fx,dukascopy,GBPUSD,dukascopy,GBPUSD,minute,61642,"s, v, sigma, q",ok,resample=1min; cache_hits=0; missed=14; skipped_closed=387
